                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.594,                  2.748,                 1.5448,                0.45886,                 0.3987,                0.38621,                0.20528,                 1.7726,                 2.7736,                  1.827,              0.0003334,              0.0003334,              0.0003334
                      1,                  1.415,                 1.7613,                 1.3985,                0.37132,                0.56039,                 0.5668,                0.32637,                 1.4198,                 6.7407,                 1.5407,             0.00066994,             0.00066994,             0.00066994
                      2,                 1.4585,                 1.6981,                 1.4361,                0.27804,                0.51494,                  0.372,                0.17352,                  2.074,                 7.4721,                 2.2686,             0.00099261,             0.00099261,             0.00099261
                      3,                 1.4696,                 1.6191,                  1.466,                0.22289,                0.36429,                0.12646,                0.05148,                 2.8287,                 69.142,                 6.0617,              0.0013014,              0.0013014,              0.0013014
                      4,                  1.469,                 1.5337,                 1.4463,                0.19198,                   0.35,                0.17343,                0.07135,                 2.4665,                  5.252,                  3.558,               0.001535,               0.001535,               0.001535
                      5,                 1.4043,                 1.5129,                  1.411,                0.33198,                0.27922,                0.24501,                0.08718,                 2.8067,                 3.7527,                 4.5933,               0.001535,               0.001535,               0.001535
                      6,                 1.4144,                 1.5241,                 1.4024,                0.29687,                0.37597,                0.20637,                0.09085,                 2.3074,                 5.1958,                 2.3955,               0.001502,               0.001502,               0.001502
                      7,                 1.4933,                 1.5274,                 1.5069,                 0.5731,                0.32343,                 0.1925,                0.08962,                 2.6163,                 6.5417,                 3.4351,               0.001469,               0.001469,               0.001469
                      8,                 1.4718,                 1.5027,                 1.4509,                0.57866,                0.51494,                0.47463,                0.24278,                 1.8401,                 2.5654,                 1.9034,               0.001436,               0.001436,               0.001436
                      9,                  1.447,                 1.3772,                 1.4224,                0.60082,                0.60441,                0.62142,                0.32905,                 1.4518,                 2.2126,                 1.5525,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.4196,                 1.4252,                 1.4117,                0.71594,                0.56948,                0.70545,                0.35345,                 1.5199,                 1.3875,                 1.6383,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.3912,                 1.4277,                 1.3963,                 0.6287,                0.66862,                0.69651,                0.35981,                   1.53,                 1.3823,                 1.6002,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.3206,                 1.2852,                 1.3694,                0.76754,                0.64313,                0.81481,                 0.4222,                 1.6122,                 1.5132,                 1.6852,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.3648,                 1.3601,                 1.3874,                0.78329,                0.70325,                0.76946,                0.38323,                 1.5157,                 1.2144,                 1.5922,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.3691,                 1.2795,                 1.3742,                0.82481,                0.62338,                0.75802,                0.39209,                 1.6292,                 1.3839,                 1.5915,              0.0012379,              0.0012379,              0.0012379
                     15,                  1.336,                 1.2726,                 1.3785,                0.68909,                0.71603,                0.76975,                0.47254,                 1.4611,                 1.2497,                 1.5443,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.2745,                 1.2056,                 1.3361,                0.75947,                0.75433,                 0.7924,                0.47784,                 1.4214,                 1.1696,                  1.489,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.3639,                 1.2917,                 1.3361,                0.71529,                0.67927,                0.71167,                0.37525,                 1.6548,                  1.455,                 1.6612,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.2991,                 1.2419,                  1.333,                0.87843,                0.66883,                0.74424,                0.44946,                 1.3718,                 1.3299,                 1.4412,              0.0011059,              0.0011059,              0.0011059
                     19,                  1.345,                 1.2944,                 1.3469,                0.82334,                0.69291,                0.78038,                0.42575,                 1.5984,                  1.285,                 1.5477,              0.0010729,              0.0010729,              0.0010729
                     20,                  1.237,                 1.1515,                 1.3008,                0.83395,                0.74202,                0.82051,                0.49129,                 1.4352,                 1.0602,                  1.431,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.2828,                  1.158,                 1.3021,                0.87311,                0.66039,                0.74725,                0.45009,                 1.3677,                 1.1547,                 1.4259,              0.0010069,              0.0010069,              0.0010069
                     22,                 1.2818,                 1.1661,                 1.3246,                0.74912,                0.56623,                  0.649,                 0.3213,                 1.7207,                   1.62,                 1.7228,             0.00097386,             0.00097386,             0.00097386
                     23,                 1.2873,                 1.2518,                 1.3191,                0.79733,                0.66039,                0.81859,                0.49004,                 1.4225,                 1.1412,                 1.4551,             0.00094085,             0.00094085,             0.00094085
                     24,                 1.2177,                 1.1233,                 1.3107,                0.90189,                0.70231,                0.81998,                0.47657,                 1.4494,                 1.0829,                 1.4331,             0.00090785,             0.00090785,             0.00090785
                     25,                 1.2406,                 1.1358,                 1.2963,                0.61339,                 0.7487,                0.76948,                0.43641,                 1.3608,                 1.2339,                  1.424,             0.00087484,             0.00087484,             0.00087484
                     26,                 1.2503,                  1.101,                 1.3174,                0.75595,                 0.6461,                0.74549,                0.40966,                 1.4993,                 1.2452,                 1.4968,             0.00084184,             0.00084184,             0.00084184
                     27,                 1.2083,                 1.0946,                  1.277,                0.86751,                0.65676,                  0.753,                0.46494,                 1.4359,                 1.0959,                 1.4631,             0.00080883,             0.00080883,             0.00080883
                     28,                 1.2121,                 1.0899,                 1.2869,                0.58799,                0.69973,                0.70443,                0.44461,                 1.3799,                 1.3932,                 1.4369,             0.00077582,             0.00077582,             0.00077582
                     29,                 1.1656,                 1.0314,                 1.2748,                0.80435,                0.64413,                0.76225,                0.48531,                 1.3613,                 1.3607,                 1.4392,             0.00074282,             0.00074282,             0.00074282
                     30,                 1.1251,                0.99843,                 1.2362,                0.94867,                0.72597,                0.84907,                0.55046,                 1.3145,                0.88828,                 1.3992,             0.00070981,             0.00070981,             0.00070981
                     31,                 1.2082,                 1.0627,                 1.2744,                0.88742,                0.77134,                0.84791,                0.52853,                 1.2877,                0.99918,                 1.3803,              0.0006768,              0.0006768,              0.0006768
                     32,                 1.1589,                  1.022,                 1.2499,                 0.9056,                0.68605,                0.81031,                0.50938,                 1.3253,                 1.0596,                 1.3862,              0.0006438,              0.0006438,              0.0006438
                     33,                 1.1735,                0.97862,                 1.2582,                0.86135,                0.78185,                0.85173,                0.52708,                 1.3469,                0.92561,                 1.3841,             0.00061079,             0.00061079,             0.00061079
                     34,                 1.0899,                0.92099,                 1.2263,                 0.8701,                0.75455,                0.85277,                0.53267,                 1.3129,                0.94974,                 1.3639,             0.00057778,             0.00057778,             0.00057778
                     35,                 1.0935,                0.96373,                 1.2185,                0.91308,                0.76267,                0.84959,                0.54031,                 1.3095,                0.94873,                 1.3687,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.0997,                0.97139,                 1.2369,                0.86917,                 0.7156,                0.84612,                0.51783,                 1.3791,                0.97903,                 1.4318,             0.00051177,             0.00051177,             0.00051177
                     37,                  1.115,                0.91172,                 1.2287,                0.86598,                0.76299,                0.85721,                0.54139,                 1.2476,                0.90562,                  1.338,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.1372,                0.93802,                 1.2606,                0.86402,                0.79876,                0.84432,                0.54383,                 1.2285,                0.97007,                 1.3238,             0.00044576,             0.00044576,             0.00044576
                     39,                 1.0594,                0.88768,                 1.1853,                0.86128,                0.80116,                0.86045,                 0.5644,                 1.2522,                0.91639,                 1.3421,             0.00041275,             0.00041275,             0.00041275
                     40,                   1.03,                0.92497,                 1.1638,                0.89442,                0.78359,                0.86094,                0.56166,                 1.2487,                0.93318,                 1.3482,             0.00037974,             0.00037974,             0.00037974
                     41,                 1.0238,                0.88218,                 1.1559,                0.83398,                0.75802,                 0.8352,                0.52214,                 1.2813,                 1.0651,                 1.3853,             0.00034674,             0.00034674,             0.00034674
                     42,                0.98351,                0.80327,                 1.1746,                 0.9428,                0.75389,                0.87213,                0.54631,                 1.2442,                0.84496,                 1.3586,             0.00031373,             0.00031373,             0.00031373
                     43,                 1.0208,                0.82857,                  1.147,                 0.9359,                0.76592,                0.85899,                0.53953,                 1.2779,                 0.8749,                  1.385,             0.00028072,             0.00028072,             0.00028072
                     44,                0.95839,                0.72987,                 1.1276,                0.84769,                0.75021,                0.83718,                0.52013,                 1.2568,                0.85803,                 1.3421,             0.00024772,             0.00024772,             0.00024772
                     45,                0.95371,                0.76418,                 1.1436,                 0.9068,                0.78491,                0.87541,                0.55668,                    1.2,                 0.8225,                 1.2872,             0.00021471,             0.00021471,             0.00021471
                     46,                0.95572,                0.76489,                 1.1275,                0.93429,                0.78312,                 0.8658,                0.55153,                 1.2535,                 0.8842,                 1.3179,              0.0001817,              0.0001817,              0.0001817
                     47,                0.92159,                0.75021,                 1.1239,                0.85382,                0.80584,                0.87338,                0.56252,                  1.257,                0.88244,                 1.3053,              0.0001487,              0.0001487,              0.0001487
                     48,                0.93085,                0.73173,                 1.0979,                0.90179,                  0.772,                0.87757,                0.54789,                 1.3014,                0.84984,                  1.348,             0.00011569,             0.00011569,             0.00011569
                     49,                0.91667,                0.71628,                 1.1045,                0.92482,                0.76883,                0.87407,                0.55614,                 1.2786,                 0.8374,                 1.3449,             8.2683e-05,             8.2683e-05,             8.2683e-05
